date,hits,geo,time,keyword,gprop,category
6/25/2017,37,US,today+5-y,mobile,web,0
7/2/2017,39,US,today+5-y,mobile,web,0
7/9/2017,73,US,today+5-y,mobile,web,0
7/16/2017,43,US,today+5-y,mobile,web,0
7/23/2017,37,US,today+5-y,mobile,web,0
7/30/2017,29,US,today+5-y,mobile,web,0
8/6/2017,35,US,today+5-y,mobile,web,0
8/13/2017,45,US,today+5-y,mobile,web,0
8/20/2017,0,US,today+5-y,mobile,web,0
8/27/2017,43,US,today+5-y,mobile,web,0
9/3/2017,34,US,today+5-y,mobile,web,0
9/10/2017,17,US,today+5-y,mobile,web,0
9/17/2017,34,US,today+5-y,mobile,web,0
9/24/2017,25,US,today+5-y,mobile,web,0
10/1/2017,33,US,today+5-y,mobile,web,0
10/8/2017,33,US,today+5-y,mobile,web,0
10/15/2017,34,US,today+5-y,mobile,web,0
10/22/2017,75,US,today+5-y,mobile,web,0
10/29/2017,55,US,today+5-y,mobile,web,0
11/5/2017,43,US,today+5-y,mobile,web,0
11/12/2017,32,US,today+5-y,mobile,web,0
11/19/2017,23,US,today+5-y,mobile,web,0
11/26/2017,27,US,today+5-y,mobile,web,0
12/3/2017,48,US,today+5-y,mobile,web,0
12/10/2017,60,US,today+5-y,mobile,web,0
12/17/2017,18,US,today+5-y,mobile,web,0
12/24/2017,19,US,today+5-y,mobile,web,0
12/31/2017,26,US,today+5-y,mobile,web,0
1/7/2018,24,US,today+5-y,mobile,web,0
1/14/2018,40,US,today+5-y,mobile,web,0
1/21/2018,43,US,today+5-y,mobile,web,0
1/28/2018,43,US,today+5-y,mobile,web,0
2/4/2018,31,US,today+5-y,mobile,web,0
2/11/2018,43,US,today+5-y,mobile,web,0
2/18/2018,48,US,today+5-y,mobile,web,0
2/25/2018,68,US,today+5-y,mobile,web,0
3/4/2018,79,US,today+5-y,mobile,web,0
3/11/2018,40,US,today+5-y,mobile,web,0
3/18/2018,59,US,today+5-y,mobile,web,0
3/25/2018,28,US,today+5-y,mobile,web,0
4/1/2018,55,US,today+5-y,mobile,web,0
